title,description,category,url,image,provider,datePublished,sentiment
City Hall Is in Crisis. Who’s Running New York?,Mayor Eric Adams is relying on a group of respected civil servants to run the city and a trio of advisers to salvage his political career. Some say it’s too late.,Politics,https://www.nytimes.com/2024/10/12/nyregion/eric-adams-administration.html,https://www.bing.com/th?id=OVFT.V_yqVl0wD-DcRZX1UExu_y&pid=News,The New York Times,12-Oct-24,negative
"Elton John, 77, makes worrying health admission in new documentary","Sir Elton John has spoken about 'life and death' in a new documentary, as he admitted he has started to think about the future given his age and recent health issues",Entertainment,https://www.nottinghampost.com/news/celebs-tv/elton-john-77-makes-worrying-9626616,https://www.bing.com/th?id=OVFT.9VgFwEuPybffARaf84TYvy&pid=News,Nottingham Post,12-Oct-24,negative
Tim Walz faces new question: How many 'misspeaks' can a 'knucklehead' get away with?,VP nominee Tim Walz is responsible for a number of verbal flubs and exaggerations. Will it hurt Kamala Harris and the Democratic ticket?,Politics,https://www.jsonline.com/story/news/politics/elections/2024/10/12/tim-walz-gaffes-2024-election-impact/75478078007/,https://www.bing.com/th?id=OVFT.ZCNw-ZsF6WG1p3MGwRS76y&pid=News,Milwaukee Journal Sentinel,12-Oct-24,neutral
Emily In Paris star Kate Walsh shows off her incredible figure in a lime bikini as she hits the beach in Perth with her fiancé Andrew Nixon after settling into new life Down Under,"The Emily In Paris star, 56, showed off her incredible figure in a skimpy lime green bikini as she enjoyed a dip in the sea with Aussie farmer Andrew.",Entertainment,https://www.dailymail.co.uk/tvshowbiz/article-13951995/Emily-Paris-Kate-Walsh-bikini-beach-Perth-fianc.html,https://www.bing.com/th?id=OVFT.Z40lp7Kggl7HottcLG1Eby&pid=News,Daily Mail,12-Oct-24,positive
"Shiv Texchem IPO allotment finalised today; know latest GMP, step-by-step guide to check status","Shiv Texchem IPO allotment has been finalised today, October 11. Investors can check their allotment status on Link Intime's portal. The IPO was oversubscribed 156.55 times and listing is set for October 15 on BSE SME.",Business,https://www.msn.com/en-in/money/news/shiv-texchem-ipo-allotment-in-focus-today-know-latest-gmp-step-by-step-guide-to-check-status/ar-AA1s4pL3,https://www.bing.com/th?id=OVFT.r0HTOZiXF0zkTZg1e-LweC&pid=News,Live Mint on MSN.com,12-Oct-24,neutral
Spotlight on the new NFO: Aditya Birla Sun Life CRISIL-IBX AAA NBFC-HFC Index – Dec 2025 Fund,Let’s understand how Aditya Birla Sun Life CRISIL-IBX AAA NBFC-HFC Index – Dec 2025 Fund can become a relevant addition to your portfolio.,Business,https://www.moneycontrol.com/mc-buzz/spotlight-on-the-new-nfo-aditya-birla-sun-life-crisil-ibx-aaa-nbfc-hfc-index-dec-2025-fund-article-12840496.html,https://www.bing.com/th?id=OVFT.ja82uGFp20RqUpOaMiwsqy&pid=News,moneycontrol.com,12-Oct-24,neutral
Ryan Seacrest opens studio at new Arthur M. Blank Hospital in Atlanta,"The new Children’s Healthcare of Atlanta, Arthur M. Blank Hospital, celebrated a special addition Friday thanks to Georgia native and TV host Ryan Seacrest.",Entertainment,https://www.fox5atlanta.com/news/ryan-seacrest-opens-studio-new-arthur-m-blank-hospital-atlanta,https://www.bing.com/th?id=OVFT.T0P6EJkQuXs4pEsbH5Yvwy&pid=News,FOX 5 Atlanta,12-Oct-24,neutral
Man United handed Zinedine Zidane boost in bad news for Erik ten Hag as theory emerges,"Manchester United are mulling over an approach for Zinedine Zidane with pressure continuing to mount on Erik ten Hag, and they may have a free run at the Frenchman",Sports,https://www.manchestereveningnews.co.uk/sport/football/football-news/man-united-zidane-jim-ratcliffe-30127902,https://www.bing.com/th?id=OVFT.TrVjXIk4zTmJh_Topn8I1i&pid=News,Manchester Evening News,12-Oct-24,neutral
Security News This Week: The FBI Made a Crypto Coin Just to Catch Fraudsters,"Plus: New details emerge in the National Public Data breach, Discord gets blocked in Russia and Turkey over alleged illegal activity on the platform, and more.",ScienceAndTechnology,https://www.wired.com/story/fbi-cryptocurrency-pump-and-dump/,https://www.bing.com/th?id=OVFT.236KErDXEhTD3NpA8liTJC&pid=News,Wired,12-Oct-24,neutral
"Anime film Ramayana: The Legend of Prince Rama's release date in India gets postponed, new date to be announced soon","The highly anticipated 1993 Japanese-Indian anime film, Ramayana: The Legend of Prince Rama, has had its release postponed, as announced by the film's distributors on Friday. A new release date for its Indian theatrical debut will be revealed later.",Entertainment,https://www.moneycontrol.com/entertainment/anime-film-ramayana-the-legend-of-prince-ramas-release-date-in-india-gets-postponed-new-release-date-to-be-announced-soon-article-12840726.html,https://www.bing.com/th?id=OVFT.jcDyylzdPC_zDtWP4isa5i&pid=News,moneycontrol.com,12-Oct-24,neutral
DWP shake-up of PIP assessments and payment levels urged in new reforms,Labour is expected to make major changes to the benefits system after reviewing proposals to replace PIP payments with vouchers,Politics,https://www.msn.com/en-gb/news/newsbirmingham/dwp-shake-up-of-pip-assessments-and-payment-levels-urged-in-new-reforms/ar-AA1s8ltA,https://www.bing.com/th?id=OVFT.ipFaaANA2919GJ8uDqEnGS&pid=News,Birmingham Mail on MSN.com,12-Oct-24,neutral
New Harris vs. Trump polls: Election a toss-up with support seemingly plateauing,"A New York Times/Siena College poll, which includes responses from 3,385 likely voters from Sept. 29 to Oct. 6, also showed Harris leading by three percentage points, with 49% favoring Harris, 46% favoring Trump and the remaining respondents either undecided or planning to vote for a third-party candidate.",Politics,https://www.silive.com/politics/2024/10/new-harris-vs-trump-polls-election-a-toss-up-with-support-seemingly-plateauing.html,https://www.bing.com/th?id=OVFT.FPqutsWRWs5JXB-xOpFEJS&pid=News,Staten Island Advance,12-Oct-24,neutral
"Latest entertainment News, Live Updates Today October 12, 2024: Alia Bhatt reveals Ram Charan adopted a wild elephant in Raha's name as a gift: ‘It might be walking into my ...","Welcome to the live updates platform for Hindustan Times. Follow the major news updates, headlines and breaking news stories from the world of entertainment right here. See the latest developments in Bollywood,",Entertainment,https://www.msn.com/en-in/entertainment/other/latest-entertainment-news-live-updates-today-october-12-2024-alia-bhatt-reveals-ram-charan-adopted-a-wild-elephant-in-raha-s-name-as-a-gift-it-might-be-walking-into-my-building/ar-AA1s780V,https://www.bing.com/th?id=OVFT.Qi89pmm6hp6xwRgOo9H9kC&pid=News,MSN,12-Oct-24,neutral
"Is Nick Chubb playing this week? Latest news, injury updates on Browns RB status for Week 6 vs. Eagles","Browns running back Nick Chubb continues to make progress in his rehab from his left knee injury. The 28-year-old participated in practices on a limited basis throughout the week. Cleveland designated the veteran to return to practice last week from the PUP list, which gives the team until Week 8 to activate him to the active roster.",Sports,https://www.msn.com/en-us/sports/other/is-nick-chubb-playing-this-week-latest-news-injury-updates-on-browns-rb-status-for-week-6-vs-eagles/ar-AA1s8F1N,https://www.bing.com/th?id=OVFT.OZsR2bqsTFIqigmUL2lTUy&pid=News,Sporting News on MSN.com,12-Oct-24,neutral
"ICYMI: the week's 8 biggest tech news stories from Nintendo's new alarm clock, to Toyota's revolutionary EV charging tech","Gurman suspects iOS 18.1, iPadOS 18.1, and macOS Sequoia 15.1 will arrive on October 28, ushering in a new era for Apple as it moves into the AI-powered future. It’s definitely an exciting time to own Apple products, but will features like Writing Tools, Clean Up, and notification summaries be enough to make people care about AI?",ScienceAndTechnology,https://www.techradar.com/tech/icymi-the-weeks-8-biggest-tech-news-stories-from-nintendos-new-alarm-clock-to-toyotas-revolutionary-ev-charging-tech,https://www.bing.com/th?id=OVFT.XvJYMOe1IAIrfCj8fDpRnS&pid=News,TechRadar,12-Oct-24,positive
"Latest Cricket News, Live Updates Today October 12, 2024: Horrible scenes in Women's World Cup, Australia star cries in pain, lays on boundary line before physio rush in",Australia's Tayla Vlaeminck and captain Alyssa Healy suffered nasty injuries during their Women's T20 World Cup 2024 match against Pakistan. Read more news like this on HindustanTimes.com,Sports,https://www.msn.com/en-in/sports/cricket/latest-cricket-news-live-updates-today-october-12-2024-horrible-scenes-in-women-s-world-cup-australia-star-cries-in-pain-lays-on-boundary-line-before-physio-rush-in/ar-AA1s7H3v,https://www.bing.com/th?id=OVFT.T5H2uZSVgp_7b3f23lAe7y&pid=News,Hindustan Times on MSN.com,12-Oct-24,negative
"Chelsea news and transfers LIVE - Thomas Tuchel to Man Utd latest, Brazilian wonderkid linked",The west Londoners could only draw 1-1 with Nottingham Forest last time out despite having several opportunities to win the game. Chelsea are now not in action until October 20 where they travel to Anfield to face top of the table Liverpool.,Sports,https://www.football.london/chelsea-fc/transfer-news/chelsea-news-transfers-live-thomas-30093939,https://www.bing.com/th?id=OVFT.-TlXQENgCEIO6ulMY1yRfC&pid=News,football,08-Oct-24,neutral
"Tracker season 2: Release date, cast and latest news","Tracker season 2 premieres on Sunday 13th October at 8pm on CBS in the US. A UK release date is yet to be confirmed for the second season, but it’s likely that the new run will be released on Disney Plus like season 1.",Entertainment,https://www.radiotimes.com/tv/drama/tracker-season-2-release-date/,https://www.bing.com/th?id=OVFT.nD6LM2WNB73Yt0SK4BbPIC&pid=News,Radio Times,08-Oct-24,neutral
"Alisson, Alexis Mac Allister, Federico Chiesa - latest Liverpool injury news and return dates","Latest Liverpool injury news and return dates with updates on Alisson Becker, Federico Chiesa, Alexis Mac Allister and Harvey Elliott",Sports,https://www.msn.com/en-gb/news/newsliverpool/alisson-alexis-mac-allister-federico-chiesa-latest-liverpool-injury-news-and-return-dates/ar-AA1rYbx9,https://www.bing.com/th?id=OVFT.PJJeW1P3YGcgzpsbHMILBy&pid=News,Liverpool Echo on MSN.com,09-Oct-24,neutral
"Results today, J&K BJP leader names possible nominees to new Assembly, says ‘Centre has all the right’","Sofi Yousuf also says Independents, smaller parties have BJP backing; NC threatens to move SC if needed over nominated members issue",Politics,https://indianexpress.com/article/political-pulse/jk-result-bjp-nominated-members-assembly-9608654/,https://www.bing.com/th?id=OVFT.Sv8htHTHEPy-i2b4b3ra3i&pid=News,The Indian Express,08-Oct-24,negative
OpenAI strikes deal with Hearst to bring more news content to ChatGPT,"As part of the agreement, which was announced on Tuesday, Hearst will license content from Esquire, Cosmopolitan, Elle and more than 40 newspapers for use across OpenAI's products",ScienceAndTechnology,https://www.business-standard.com/technology/tech-news/openai-strikes-deal-with-hearst-to-bring-more-news-content-to-chatgpt-124100801462_1.html,https://www.bing.com/th?id=OVFT.eQ7ADYIo5Tf1YyMGRU_JQi&pid=News,Business Standard,08-Oct-24,neutral
"2.5 lakh new US visa slots for Indians, will help thousands of applicants take timely interviews","In 2023, the US issued over 1.4 lakh student visas to Indians, which is more than in any other country in the world",LifeStyle,https://indianexpress.com/article/india/us-visa-slots-indians-applicants-interviews-9596202/,https://www.bing.com/th?id=OVFT.YhK6sxEmJN4hJF1M2EWlWC&pid=News,The Indian Express,30-Sep-24,neutral
Malik Nabers injury update: Latest news on New York Giants star in Week 6,"The New York Giants were able to pull off an upset win without star Malik Nabers, but they hope to get him back in Week 6. Nabers didn't practice at all last week and was still in the concussion protocol after exiting the game late against the Dallas Cowboys in Week 4.",Sports,https://www.msn.com/en-us/sports/nfl/malik-nabers-injury-update-latest-news-on-new-york-giants-star-in-week-6/ar-AA1rYrPA,https://www.bing.com/th?id=OVFT.9BNGqR_26tPwCfpnlr3TBS&pid=News,Sporting News on MSN.com,09-Oct-24,negative
Bristol City Council refuses to disclose new top boss's taxpayer-funded salary,Bristol City Council has appointed a new chief executive – but is refusing to reveal his taxpayer-funded salary. Full council unanimously approved the cross-party selection committee’s recommendation to offer the job to Nick Hibberd.,Politics,https://www.bristolpost.co.uk/news/bristol-news/bristol-city-council-refuses-disclose-9622540,https://www.bing.com/th?id=OVFT.HuvCBiywuIrfCmTPhyF92y&pid=News,Bristol Post,11-Oct-24,neutral
"Haryana School News: Schools Closed in Panchkula District Due to Elections, Check Latest News","All schools in Panchkula district will remain closed on October 4 and 5, 2024 due to assembly elections. Check latest news here.",Politics,https://www.msn.com/en-in/news/India/haryana-school-news-schools-closed-in-panchkula-district-due-to-elections-check-latest-news/ar-AA1rGky7,https://www.bing.com/th?id=OVFT.zU4XTiPMeONnm8sv947HrS&pid=News,Jagran Josh on MSN.com,04-Oct-24,neutral
Jonathan Taylor injury update: Latest news on Colts star RB in Week 6,"Without Taylor in Week 5, the Colts lost 37-34 once again in Duval. Trey Sermon had 10 carries for 38 rushing yards and a rushing touchdown to go along with six receptions for 25 receiving yards. Tyler Goodson had five carries for 26 rushing yards while adding three receptions for 31 yards.",Sports,https://www.msn.com/en-us/health/other/jonathan-taylor-injury-update-latest-news-on-colts-star-rb-in-week-6/ar-AA1rYdYN,https://www.bing.com/th?id=OVFT.umLJ4DKoSA9kAi-uFF9_ji&pid=News,Sporting News on MSN.com,09-Oct-24,negative
Trump responds to new Fox News call for Harris debate,"Photo: Alamy President Donald Trump reacted on Wednesday to a new call from Fox News for a presidential debate with Vice President Kamala Harris. Trump claimed to win the debates against President Joe Biden and Harris,",Politics,https://www.rsbnetwork.com/news/trump-responds-to-new-fox-news-call-for-harris-debate/,https://www.bing.com/th?id=OVFT.8nllR_L_lqTeXHNEp9JIOS&pid=News,rsbnetwork,10-Oct-24,neutral
Renewables revolution: The good and the bad news from the IEA’s latest wind and solar stocktake,China is likely to account for almost 60 per cent of all renewable capacity installed worldwide between now and 2030.View on euronews,LifeStyle,https://www.msn.com/en-xl/news/other/renewables-revolution-the-good-and-the-bad-news-from-the-iea-s-latest-wind-and-solar-stocktake/ar-AA1rXNVW,https://www.bing.com/th?id=OVFT.5Msvbl69aJagOeyG1klAzS&pid=News,Africanews English on MSN.com,09-Oct-24,neutral
"Arsenal news and transfers LIVE - £58m wonderkid talks, Thomas Partey injury latest","It is day two of the second international break of the Premier League season. Arsenal's international stars have jetted off to represent their countries, while Mikel Arteta will be working with the young players and a number of players who have not gone on international duty back at London Colney.",Sports,https://www.football.london/arsenal-fc/transfer-news/arsenal-news-transfers-live-58m-30093436,https://www.bing.com/th?id=OVFT.XWCqSLymk3XVTI27ShA2XS&pid=News,football,08-Oct-24,neutral
“Grey's Anatomy”'s Jason George Teases There Will Be 'a Whole New Level of Friction' Between Bailey and Ben (Exclusive),"""They had just started to figure out what their working relationship was when he went out to become a firefighter, but now he's coming in with a whole new level of confidence,"" George says of Ben and",Entertainment,https://www.msn.com/en-us/tv/celebrity/greys-anatomy-s-jason-george-teases-there-will-be-a-whole-new-level-of-friction-between-bailey-and-ben-exclusive/ar-AA1s3Xxe,https://www.bing.com/th?id=OVFT.2n76SKSS86ExmiJTFPaIDS&pid=News,People on MSN.com,11-Oct-24,positive
"Kamala Harris overtakes Donald Trump among suburban voters, new poll shows","Kamala Harris has erased Donald Trump's advantage in the vast middle of American society: suburban residents and middle-income households, as per new poll.",Politics,https://www.msn.com/en-in/news/world/exclusive-kamala-harris-overtakes-donald-trump-among-suburban-residents-reutersipsos-polling-shows/ar-AA1s1D4M,https://www.bing.com/th?id=OVFT.jehaxbi9_GfT4mH5D8YbOS&pid=News,WION on MSN.com,10-Oct-24,neutral
Latest news on Dolly after Kaizer Chiefs,Former Kaizer Chiefs captain Keagan Dolly is not doing so well. The Johannesburg-born player is still searching for a new club.,Sports,https://www.msn.com/en-za/news/other/latest-news-on-dolly-after-kaizer-chiefs/ar-AA1rWNm0,https://www.bing.com/th?id=OVFT.pOi1_RkR0B7FzQumfLXpsi&pid=News,richest on MSN.com,09-Oct-24,negative
"Vinesh Phogat, Julana Election Results LIVE: Phogat trailing by over 3,000 votes…BJP makes turn for better in Haryana","Wrestler Vinesh Phogat is contesting from Julana seat on a Congress ticket. If Phogat proves successful it will be the first time in 19 years that the grand old party wins here. In Haryana however, BJP seems to have gained lead in 46 seats.",Politics,https://www.livemint.com/elections/vinesh-phogat-haryana-assembly-election-results-2024-live-updates-julana-constituency-seat-vote-counting-congress-news-11728292913521-page-229.html,https://www.bing.com/th?id=OVFT.qv_Ks_JzZp1IuFdqF4Hjay&pid=News,Mint,08-Oct-24,positive
Baramulla Assembly Election 2024 Result Live Updates: Check Latest Trends From Jammu & Kashmir Election Results,"The Baramulla Assembly Constituency is one of Jammu & Kashmir's 90 assembly seats and recently participated in a single-phase election on September 18. As the counting of votes is currently in progress,",India,https://www.timesnownews.com/elections/baramulla-assembly-election-2024-result-live-updates-check-latest-trends-from-jammu-kashmir-election-results-article-114023719,https://www.bing.com/th?id=OVFT.hBrumpX6SwiBRNVaMwj_nC&pid=News,timesnownews,08-Oct-24,neutral
Kearney Catholic dedicates new stadium,"KEARNEY, Neb. (News Channel Nebraska) - The new-look Stars Stadium is now open at Kearney Catholic High School. The school hosted a dedication ceremony on Thursday for the $6.78 million complex. Better outdoor athletic facilities has been on the minds of many Kearney Catholic supporters for decades.",LifeStyle,https://www.msn.com/en-us/sports/nfl/kearney-catholic-dedicates-new-stadium/ar-AA1s47I6,https://www.bing.com/th?id=OVFT.WNTzT5lIZ6pAjMQ91LoCIi&pid=News,Lincoln & Hastings-Krny KSNB on MSN.com,11-Oct-24,positive
ESPN Announces Significant News Before WNBA Finals,"Before Thursday's WNBA Finals Game 1 between the Minnesota Lynx and New York Liberty, ESPN reported a 142% increase in WNBA playoff viewership compared to 2023, averaging 970,000 viewers across 17 games. That was the highest since the league’s inaugural season in 1997.",Sports,https://athlonsports.com/wnba/espn-announces-significant-news-before-wnba-finals-minnesota-lynx-new-york-liberty,https://www.bing.com/th?id=OVFT.kgSJTPxKf2PtD6-WJrP7Hy&pid=News,Athlon Sports,11-Oct-24,neutral
"AFL trades 2024: Trade period Day 5 live blog, Friday October 11, latest news, updates, confirmed moves, live trade chat, rumours and whispers","After all with less than a week left until the AFL trade deadline there’s still plenty that needs to get done. Follow all of Friday October 11’s trade news in our blog below, and ask questions in our live trade chat from 9am-5pm AEDT at the bottom of the article!",Sports,https://www.foxsports.com.au/afl/afl-trades-2024-trade-period-day-5-live-blog-friday-october-11-latest-news-updates-confirmed-moves-live-trade-chat-rumours-and-whispers/news-story/c2defd1e377ad85c499d477577b59163,https://www.bing.com/th?id=OVFT.S2AXoSBjchHE4aqQKwYYey&pid=News,Fox Sports,10-Oct-24,neutral
"2024 election update: Obama holds rally for Harris; latest polls, news | Oct. 10","Here's a look at latest election polls, maps, and news, including Obama holding a rally in Pittsburgh for Harris.",Politics,https://www.fox5ny.com/news/2024-election-update-latest-polls-news-oct-10,https://www.bing.com/th?id=OVFT.OvDc2H_q6CoMJIc7tir5ZC&pid=News,Fox 5 NY,10-Oct-24,neutral
"Breaking News Live: Confident his visit will give new energy to our bilateral relations, says PM Modi welcoming Jamaican counterpart Holness","Biden to keep target of accepting 125,000 refugees next year, memo says",World,https://timesofindia.indiatimes.com/india/latest-india-world-news-live-updates-today-breaking-news-october-1-2024/liveblog/113829263.cms,https://www.bing.com/th?id=OVFT.j1sQ4Q1ohU0LiTHtYKtRiy&pid=News,Indiatimes,01-Oct-24,neutral
"Breaking News Live: Akhilesh Yadav visits JPNIC in night, slams govt for barring entrance with tin sheets","India News Last Updates: Major terror incident averted in Baramulla, says Indian Army",World,https://timesofindia.indiatimes.com/india/latest-india-world-news-live-updates-today-breaking-news-october-11-2024/liveblog/114133993.cms,https://www.bing.com/th?id=OVFT.th1U33ez3w9VRb96_RrtgC&pid=News,Indiatimes,11-Oct-24,negative
Here are the latest news and big news stories to follow today,"Union Home Minister Amit Shah will review on Monday (October 7, 2024) the security situation of the Naxal-affected states with the Chief Ministers of eight states hit by the menace. The CMs of Andhra Pradesh, Bihar, Chhattisgarh, Jharkhand, Telangana, Odisha, Maharashtra and Madhya Pradesh will attend the meeting.",World,https://www.thehindu.com/newsletter/the-morning-brew/here-are-the-latest-news-and-big-news-stories-to-follow-today/article68726063.ece,https://www.bing.com/th?id=OVFT.raIQgz223yV6-yHz2KcZ4C&pid=News,The Hindu,06-Oct-24,neutral
"Is Malik Nabers playing this week? Latest news, injury updates on Giants WR's status for Week 6 vs. Bengals","Nabers suffered a concussion against the Cowboys on Thursday Night Football in Week 4, making it now two weeks since the injury.",Sports,https://www.msn.com/en-us/sports/nfl/is-malik-nabers-playing-this-week-latest-news-injury-updates-on-giants-wrs-status-for-week-6-vs-bengals/ar-AA1s6QTD,https://www.bing.com/th?id=OVFT.yIZOv_sIc9nyemXXK-AmmS&pid=News,Sporting News on MSN.com,11-Oct-24,negative
New Poll Delivers Even More Bad News For Harris Weeks Out From Election,"Former President Donald Trump is outperforming Vice President Kamala Harris among Hispanic male voters, according to an AP/NORC poll released",Politics,https://ijr.com/new-poll-delivers-even-more-bad-news-for-harris-weeks-out-from-election/,https://www.bing.com/th?id=OVFT.5VyaAP3GKd8y3K-xHvvs-C&pid=News,IJR,11-Oct-24,neutral
Trump to attend Fox News town hall with all-female audience,"Former President Trump will participate in a Fox News town hall with exclusively female voters next week, seeking to broaden his appeal to a group he has consistently struggled to win over. The event will be taped Tuesday in Cumming,",Politics,https://www.msn.com/en-us/news/politics/trump-to-attend-fox-news-town-hall-with-all-female-audience/ar-AA1s6xjZ,https://www.bing.com/th?id=OVFT.kSD8mKwS_uBroVZIshv9MC&pid=News,The Hill on MSN.com,11-Oct-24,neutral
'New world order'? Putin and Pezeshkian meet in person for first time in Ashgabat,"Moscow and Tehran signed a $1.7 billion deal for Iran to export drones to Russia after Putin sent troops into Ukraine in 2022, and the U.S. also believes it has transferred short-range ballistic missiles.",World,https://www.msn.com/en-us/news/world/new-world-order-putin-and-pezeshkian-meet-in-person-for-first-time-in-ashgabat/ar-AA1s7q9R,https://www.bing.com/th?id=OVFT.LxhkpFlXfOUnvR9aCeK-ti&pid=News,Euronews on MSN.com,12-Oct-24,neutral
AMD Launches New AI Chip to Take on Nvidia,"AMD has announced that its new MI325X chip, set for release in Q4 this year, is expected to surpass the performance of Nvidia’s current H200 AI chips.",ScienceAndTechnology,https://www.techopedia.com/news/amd-launches-new-ai-chip-to-take-on-nvidia,https://www.bing.com/th?id=OVFT.ahmqLLHUiPH0YA6Pjjh9MS&pid=News,Techopedia,11-Oct-24,neutral
Kevin Costner Releases New Song to Benefit Hurricane Victims and Provide 'Refuge' amid Ongoing Storms,"Proceeds for Costner's song with Modern West, ""Find Your Way,"" will go entirely to disaster relief fund Hope Force International",Entertainment,https://www.msn.com/en-us/music/celebrity/kevin-costner-releases-new-song-to-benefit-hurricane-victims-and-provide-refuge-amid-ongoing-storms/ar-AA1s78mD,https://www.bing.com/th?id=OVFT.W9uswLFwFcv21_X6vTVbCS&pid=News,People on MSN.com,11-Oct-24,negative
'When we meet' - Jurgen Klopp's former player slams ex-Liverpool boss over new job decision,"Red Bull appointing Jurgen Klopp as their new head of football has caused controversy in Germany, especially among supporters of his former club, Borussia Dortmund",Sports,https://www.msn.com/en-gb/news/newsliverpool/when-we-meet-jurgen-klopps-former-player-slams-ex-liverpool-boss-over-new-job-decision/ar-AA1s77Xe,https://www.bing.com/th?id=OVFT.9luAeF-HXcQLuWd-kqvlsi&pid=News,Liverpool Echo on MSN.com,11-Oct-24,neutral
